t,ls,alt,vel,ax,ay,az,hax,hay,haz
24810,20,0.37,-0.09,0.21,0.59,9.72,0.48,-1.44,9.61
24912,20,0.43,0.00,0.29,0.32,9.72,0.48,-1.92,9.61
25014,20,0.37,-0.09,0.29,-0.02,9.68,0.48,-2.88,10.09
25116,20,0.22,-0.29,0.25,0.55,9.72,0.48,-1.44,10.09
25218,20,0.33,-0.09,0.29,0.21,9.72,0.00,-1.44,10.09
25320,20,0.35,-0.06,0.40,0.13,9.72,-0.96,-0.96,8.17
25422,20,0.36,-0.03,0.25,0.17,9.80,-0.48,-1.92,9.13
25627,20,0.43,0.06,0.32,0.36,9.72,-0.48,-1.44,10.09
25729,20,0.46,0.11,0.29,0.36,9.72,-0.48,-3.36,8.17
25831,20,0.45,0.08,0.21,-0.02,9.68,-0.96,0.48,10.09
25933,20,0.33,-0.11,0.44,0.55,9.68,0.00,-1.44,9.13
26035,20,0.24,-0.23,0.40,0.47,9.72,0.48,-2.40,9.13
26137,20,0.31,-0.10,0.21,0.28,9.68,0.48,-1.92,9.61
26239,20,0.10,-0.40,0.17,0.17,9.72,0.48,-1.92,9.13
26341,20,-0.03,-0.55,0.44,0.43,9.72,-0.48,-1.44,7.69
26547,20,-0.08,-0.50,0.32,0.28,9.72,-0.48,-1.44,8.17
26655,20,-0.12,-0.50,0.21,-0.10,9.84,-1.44,-2.40,9.13
26756,20,-0.14,-0.47,0.90,0.55,9.72,-1.44,-0.48,9.13
26858,20,-0.06,-0.31,-0.18,0.21,9.87,0.00,-2.88,9.61
26960,20,0.02,-0.17,0.59,0.43,9.64,-0.48,-2.88,9.61
27062,20,0.03,-0.12,0.97,0.51,9.60,-0.48,0.48,9.13
27164,20,0.07,-0.05,0.13,0.36,9.76,-0.48,-2.40,9.61
27266,20,0.07,-0.04,0.02,0.40,9.76,0.96,-1.44,9.13
27368,20,0.05,-0.06,0.71,0.86,9.60,0.48,-1.44,10.09
27572,20,0.15,0.11,-0.79,-0.10,9.87,0.96,-1.92,10.09
27674,20,0.10,0.04,0.25,1.09,9.57,0.96,-1.44,9.61
27776,20,0.18,0.15,0.97,0.40,9.68,-0.96,-0.48,9.61
27878,20,0.19,0.16,0.05,0.55,9.76,-0.48,-3.36,10.09
27980,20,0.19,0.15,1.05,0.59,9.64,0.96,-1.44,8.65
28083,20,0.30,0.30,-0.18,-0.02,9.84,0.48,-1.92,9.61
28185,20,0.38,0.38,0.09,-0.06,9.76,-0.48,-0.96,11.05
28287,20,0.32,0.26,0.17,0.36,9.76,0.00,0.00,9.13
28389,20,0.26,0.14,-0.18,0.28,9.76,-0.96,-1.92,10.09
28595,20,0.31,0.18,0.52,0.28,9.76,-0.48,-0.96,9.61
28707,20,0.32,0.19,0.36,0.09,9.72,0.00,-4.32,9.13
28809,20,0.37,0.23,2.05,1.09,9.57,-1.44,-1.44,9.61
28911,20,0.41,0.28,0.02,-0.02,9.87,-1.44,-1.44,8.17
29013,20,0.41,0.24,0.29,0.05,9.68,0.00,-2.88,11.53
29115,20,0.39,0.19,0.02,0.13,9.72,-0.48,-0.48,10.09
29217,20,0.33,0.08,0.29,0.40,9.68,-0.48,0.00,7.69
29320,20,0.22,-0.08,0.21,0.40,9.72,-1.92,-2.40,10.57
29422,20,0.21,-0.10,0.05,0.09,9.84,0.48,-1.92,9.13
29626,20,0.15,-0.16,0.32,0.55,9.53,-0.48,-1.92,10.57
29729,20,0.18,-0.11,-0.10,0.66,9.84,0.48,-3.84,11.05
29830,20,0.21,-0.05,0.93,0.51,9.80,-0.96,1.92,-3.84
29933,20,0.21,-0.05,-0.41,0.36,9.76,0.96,-3.36,14.90
30035,20,0.20,-0.07,-0.41,0.51,9.76,0.00,-0.48,0.96
30137,20,0.20,-0.06,1.70,0.82,9.64,-0.48,-1.92,9.61
30239,20,0.22,-0.02,0.78,0.66,9.64,-0.96,1.44,8.17
30341,20,0.28,0.08,-0.64,-0.25,9.99,2.88,-2.88,10.57
30443,20,0.31,0.10,0.21,2.16,10.11,1.44,-2.40,9.13
30648,20,0.29,0.05,-0.06,0.28,9.72,-0.48,-0.96,10.57
30760,20,0.37,0.16,-1.48,0.05,9.95,-0.96,0.48,9.13
30862,20,0.36,0.13,0.55,0.13,9.68,-0.96,-3.36,7.21
30964,20,0.40,0.18,0.48,0.05,9.68,1.44,-1.44,8.65
31066,20,0.38,0.12,0.17,0.36,9.68,-0.96,-3.36,8.65
31168,20,0.36,0.08,0.02,0.40,9.80,0.96,-2.88,8.65
31272,20,0.37,0.08,0.17,0.36,9.72,-1.44,-2.40,11.05
31374,20,0.35,0.05,0.02,0.78,9.72,0.48,-1.44,9.13
31476,20,0.39,0.10,0.40,0.17,9.68,-0.48,-3.84,9.13
31578,20,0.37,0.05,0.90,0.82,9.57,-0.96,-0.96,9.13
31786,20,0.27,-0.09,-0.14,0.43,9.80,-0.96,-2.88,8.17
31888,20,0.32,-0.01,0.25,0.17,9.80,-0.48,-1.92,9.61
